Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1025,Moises\'a0Sierra\\sierrmo01,25,TOT,AL,96,170,161,22,37,8,2,2,9,3,1,8,43,.230,.265,.342,.606,73,55,1,0,0,1,0,9/7D8\
1026,Andrelton\'a0Simmons\\simmoan01,24,ATL,NL,146,576,540,44,132,18,4,7,46,4,5,32,60,.244,.286,.331,.617,75,179,25,0,2,2,4,*6\
1027,Shae\'a0Simmons\\simmosh01,23,ATL,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1028,Alfredo\'a0Simon\\simonal01,33,CIN,NL,30,67,59,2,7,3,0,0,2,0,0,1,21,.119,.133,.169,.303,-16,10,0,0,7,0,0,1\
1029,Jon\'a0Singleton*\\singljo02,22,HOU,AL,95,362,310,42,52,13,0,13,44,2,3,50,134,.168,.285,.335,.620,76,104,4,1,0,1,1,3\
1030,Tony\'a0Sipp*\\sippto01,30,HOU,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/79\
1031,Grady\'a0Sizemore*\\sizemgr01,31,TOT,MLB,112,381,347,35,81,19,4,5,27,6,1,33,76,.233,.299,.354,.654,82,123,10,0,0,1,0,798\
1032,Scott\'a0Sizemore\\sizemsc01,29,NYY,AL,6,16,16,3,5,2,0,0,4,0,0,0,8,.313,.313,.438,.750,111,7,0,0,0,0,0,/53\
1033,Tyler\'a0Skaggs*\\skaggty01,22,LAA,AL,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1034,Kevin\'a0Slowey\\sloweke01,30,MIA,NL,16,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1035,Joe\'a0Smith\\smithjo05,30,LAA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1036,Seth\'a0Smith*\\smithse01,31,SDP,NL,136,521,443,55,118,31,5,12,48,1,1,69,87,.266,.367,.440,.807,134,195,9,4,0,4,3,*79/D\
1037,Will\'a0Smith\\smithwi04,24,MIL,NL,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
