Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos
445,Chris\'a0Ray\\raych01,29,SEA,29,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1000000,Free Agency,1\
446,Ricky\'a0Romero\\romerri01,26,TOR,32,6,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1000000,Amateur Draft,1\
447,Brendan\'a0Ryan\\ryanbr01,29,SEA,123,494,-8,3,0,18,6,20,2.2,19,39,4.0,.517,.513,2.1,2.6,21,$1000000,Traded,*6\
448,Denard\'a0Span*\\spande01,27,MIN,70,311,-2,3,1,9,1,12,1.3,11,23,2.4,.518,.508,1.4,1.1,14,$1000000,Amateur Draft,8/D\
449,Marcus\'a0Thames\\thamema01,34,LAD,36,70,-4,0,-1,-2,-1,-7,-0.8,2,-5,-0.5,.479,.495,-0.3,-0.3,-3,$1000000,Free Agency,7/D\
450,Felix\'a0Pie*\\piefe01,26,BAL,85,175,-12,1,1,-12,-2,-24,-2.5,7,-18,-1.9,.470,.484,-0.6,-1.5,-6,$985000,Traded,7/8D9\
451,Jim\'a0Johnson\\johnsji04,28,BAL,69,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$975000,Amateur Draft,1\
452,Guillermo\'a0Mota\\motagu01,37,SFG,52,10,-2,0,0,0,2,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$925000,Free Agency,1\
453,Joel\'a0Peralta\\peraljo01,35,TBR,71,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$925000,Free Agency,1\
454,Andy\'a0Sonnanstine*\\sonnaan01,28,TBR,15,2,-1,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$912500,Amateur Draft,1\
455,Jeff\'a0Niemann\\niemaje01,28,TBR,23,3,0,0,0,0,0,0,0.1,0,0,0.1,.502,.500,0.1,0.0,0,$903000,Amateur Draft,1\
456,Willie\'a0Bloomquist\\bloomwi01,33,ARI,97,381,-13,-1,1,1,2,-10,-1.1,12,2,0.1,.489,.493,-0.1,0.3,1,$900000,Free Agency,67/4\
457,Tim\'a0Byrdak*\\byrdati01,37,NYM,72,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$900000,Free Agency,1\
458,Bartolo\'a0Colon\\colonba01,38,NYY,29,2,-1,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$900000,Free Agency,1\
459,Alex\'a0Cora*\\coraal01,35,WSN,91,172,-10,1,0,1,1,-6,-0.7,5,-1,-0.2,.493,.496,-0.3,0.2,-2,$900000,Free Agency,56/34\
460,Nelson\'a0Figueroa#\\figuene01,37,HOU,8,10,-1,0,0,0,1,0,0.0,0,0,0.0,.503,.500,0.0,0.0,0,$900000,Waivers,/1\
461,Chad\'a0Gaudin\\gaudich01,28,WSN,10,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$900000,Free Agency,1\
462,Reed\'a0Johnson\\johnsre02,34,CHC,111,266,9,0,0,-2,-2,3,0.4,8,12,1.2,.503,.502,1.4,-0.5,14,$900000,Free Agency,978\
463,Fred\'a0Lewis*\\lewisfr02,30,CIN,81,210,-7,-1,2,7,-2,0,0.0,7,6,0.6,.500,.500,-0.2,0.6,-1,$900000,Free Agency,7/9D\
464,Jason\'a0Michaels\\michaja01,35,HOU,89,169,-10,1,-1,3,-2,-9,-1.0,5,-4,-0.5,.489,.494,-0.8,0.2,-7,$900000,Free Agency,79\
465,Sergio\'a0Mitre\\mitrese01,30,2TM,26,2,-1,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$900000,Traded,1\
466,Dustin\'a0Moseley\\moseldu01,29,SDP,20,36,-5,0,0,0,5,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$900000,Free Agency,1\
467,Corey\'a0Patterson*\\patteco01,31,2TM,133,397,-15,-1,1,-3,-3,-21,-2.3,15,-7,-0.9,.483,.492,-0.5,-0.6,-4,$900000,Traded,98/7\
468,Dennys\'a0Reyes\\reyesde01,34,BOS,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$900000,Free Agency,/1\
