k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
99,Vicente Padilla\padilvi01,26,PHI,115.1,20,20,63,4.92,4.51,0.10,0.18,105.7,4.85,-2,-0.2,,-0.1,0.7,9,.492,.499,$2600000,Traded
100,Kip Wells\wellski01,27,PIT,138.1,24,24,71,4.62,4.75,-0.14,0.19,100.4,5.10,6,0.7,,-0.1,1.8,20,.528,.504,$2575000,Traded
101,A.J. Burnett\burnea.01,27,FLA,120.0,20,19,50,3.75,4.67,0.07,0.17,93.4,4.46,9,0.9,.60,-0.1,1.8,20,.545,.506,$2500000,Traded
102,Jimmy Haynes\hayneji01,31,CIN,15.0,5,4,17,10.20,4.43,0.05,0.12,100.4,4.52,-10,-0.8,.07,0.0,-0.7,-8,.335,.495,$2500000,Free Agency
103,Trevor Hoffman\hoffmtr01,36,SDP,54.2,55,0,14,2.30,4.56,-0.05,-0.33,89.9,3.84,9,0.9,1.97,0.3,1.7,14,.517,.506,$2500000,Traded
104,Kenny Rogers*\rogerke01,39,TEX,211.2,35,35,117,4.97,5.00,-0.22,0.19,107.3,5.81,17,1.7,,-0.1,3.7,44,.548,.510,$2500000,Free Agency
105,Mike Timlin\timlimi01,38,BOS,76.1,76,0,35,4.13,5.09,-0.09,-0.38,103.9,5.00,6,0.6,1.36,-0.1,1.4,16,.508,.504,$2500000,Free Agency
106,Jason Christiansen*\chrisja01,34,SFG,36.0,60,0,20,5.00,5.20,-0.29,-0.38,102.2,5.22,1,0.1,1.72,-0.1,0.3,4,.501,.500,$2433333,Free Agency
107,Ben Sheets\sheetbe01,25,MIL,237.0,34,34,85,3.23,4.72,-0.10,0.18,102.2,5.11,48,5.3,,-0.2,7.2,70,.657,.533,$2425000,Amateur Draft
108,Chris Hammond*\hammoch01,38,OAK,53.2,41,0,21,3.52,5.01,-0.12,-0.37,99.7,4.74,7,0.6,.77,-0.2,1.0,13,.516,.504,$2400000,Traded
109,Tomo Ohka\ohkato01,28,MON,84.2,15,15,40,4.25,4.64,0.31,0.18,104.2,4.70,4,0.4,,-0.1,1.0,12,.525,.502,$2337500,Traded
110,Jon Garland\garlajo01,24,CHW,217.0,34,33,125,5.18,4.92,0.11,0.19,101.8,5.10,-5,-0.5,.06,-0.1,1.6,23,.486,.497,$2300000,Traded
111,John Thomson\thomsjo01,30,ATL,198.1,33,33,93,4.22,4.57,0.27,0.18,101.2,4.53,6,0.6,,-0.1,2.1,24,.517,.504,$2250000,Free Agency
112,Pat Hentgen\hentgpa01,35,TOR,80.1,18,16,67,7.51,4.95,0.33,0.18,103.5,4.97,-24,-2.1,.01,0.0,-1.3,-13,.385,.487,$2200000,Free Agency
113,Tony Armas\armasto02,26,MON,72.0,16,16,41,5.13,4.73,0.26,0.19,106.9,4.98,-2,-0.2,,0.0,0.4,5,.490,.499,$2100000,Traded
114,Scott Sullivan\sullisc01,33,KCR,60.1,49,0,34,5.07,5.26,-0.09,-0.39,103.6,5.13,0,0.0,1.20,-0.1,0.5,7,.499,.500,$2100000,Free Agency
115,Brian Boehringer\boehrbr01,35,PIT,25.1,21,0,14,4.97,5.01,-0.13,-0.37,102.0,4.87,0,0.0,.79,0.0,0.1,2,.498,.500,$2000000,Free Agency
116,Joe Borowski\borowjo01,33,CHC,21.1,22,0,19,8.02,4.77,-0.12,-0.35,100.6,4.57,-8,-0.8,1.68,-0.3,-1.0,-6,.463,.495,$2000000,Free Agency
117,Francisco Cordero\cordefr01,29,TEX,71.2,67,0,19,2.39,5.00,-0.17,-0.37,107.8,5.17,21,2.1,1.93,0.8,3.6,30,.531,.513,$2000000,Traded
118,Kerry Ligtenberg\ligteke01,33,TOR,55.0,57,0,40,6.55,5.27,0.30,-0.39,105.0,4.80,-11,-1.1,.95,-0.1,-0.6,-4,.481,.493,$2000000,Free Agency
119,Braden Looper\loopebr01,29,NYM,83.1,71,0,28,3.02,4.67,-0.23,-0.34,100.3,4.56,14,1.4,1.52,0.2,2.3,22,.520,.509,$2000000,Free Agency
120,Mark Redman*\redmama01,30,OAK,191.0,32,32,110,5.18,4.99,-0.13,0.19,99.0,5.26,-1,-0.1,,-0.1,1.8,24,.497,.499,$2000000,Traded
121,Rocky Biddle\biddlro01,28,MON,78.0,47,9,69,7.96,4.72,0.30,-0.07,105.8,4.60,-30,-2.9,1.26,-0.3,-2.5,-22,.439,.482,$1950000,Traded
122,Gil Meche\mechegi01,25,SEA,127.2,23,23,73,5.15,5.22,0.12,0.20,95.8,5.07,-3,-0.3,,-0.1,1.0,14,.488,.498,$1950000,Amateur Draft
123,Adam Eaton\eatonad01,26,SDP,199.1,33,33,113,5.10,4.62,-0.06,0.18,91.9,4.47,-15,-1.5,,-0.1,0.1,3,.455,.491,$1925000,Traded
124,Gabe White*\whitega01,32,2TM,59.2,64,0,46,6.94,4.85,-0.20,-0.36,99.2,4.65,-16,-1.5,1.06,-0.2,-1.1,-9,.476,.495,$1925000,Traded
125,Ted Lilly*\lillyte01,28,TOR,197.1,32,32,92,4.20,5.23,0.26,0.20,103.4,5.35,23,2.3,,-0.1,4.2,48,.571,.514,$1900000,Traded
126,Shawn Chacon\chacosh01,26,COL,63.1,66,0,52,7.39,4.77,-0.15,-0.35,114.0,5.21,-16,-1.6,1.48,-0.5,-1.5,-10,.476,.490,$1850000,Amateur Draft
127,Ryan Franklin\frankry01,31,SEA,200.1,32,32,116,5.21,5.02,0.13,0.19,99.2,5.04,-6,-0.6,,-0.1,1.3,19,.481,.496,$1800000,Amateur Draft
128,Felix Heredia*\heredfe01,29,NYY,38.2,47,0,28,6.52,5.40,-0.54,-0.40,97.4,5.39,-5,-0.5,.89,-0.1,-0.2,0,.489,.497,$1800000,Waivers
129,Jeff Nelson\nelsoje01,37,TEX,23.2,29,0,16,6.08,5.19,-0.16,-0.39,110.2,5.47,-2,-0.2,1.20,-0.1,0.0,1,.494,.499,$1800000,Free Agency
